,TE-D96,TS-D96,TW-D96,W1-D96,W2-D96,W3-D96,TE-A17,TS-A17,TW-A17,W1-A17,W2-A17,W3-A17,TE-O17,TS-O17,TW-O17,W1-O17,W2-O17,W3-O17,TE-N21,TS-N21,TW-N21,W1-N21,W2-N21,W3-N21,TE-J22,TS-J22,TW-J22,W1-J22,W2-J22,W3-J22
IB010199,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,1
IF999999,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
IF9999A0,,,,,,,,,,,,,1,1,1,,1,1,,,,,,,,,,,,
II999999,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
KG070399,,,,1,1,1,,,,,,,,,,,1,,,,1,,1,1,,,1,1,1,
KG070899,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
KG120199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
LH019999,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
LO050201,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,
LO050202,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
LO052199,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
LO989999,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
MM030199,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
MM070199,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
MM170101,,,,,,,,,,,,,1,1,1,1,1,,1,,,,,,1,,1,,,
MM170302,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
MM230101,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
MM259999,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
MM9999A1,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,
MM9999A2,,,,,,,1,,1,,,,,,,,,,1,1,,,,,,,,,,
OG049999,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
OG031201,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
OG031802,,,,1,1,,,,,,,,,,,,1,,,,1,1,1,1,1,,1,1,1,1
OG039999,,,,,,,,,,,,,1,1,,,1,,1,1,,,1,,1,,,,1,
OG031601,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
OG032502,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,
OG040201,,,,,,,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1,1,,1,1
OG040202,,,,,,1,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,
OG040504,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
OG040505,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,
OG040506,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,1,1,1,1
OG040507,,,,,,,,,,,,,,,,1,1,1,,,,1,1,1,,1,,1,1,1
OG040599,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
OG060201,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
OG0602B6,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
OG0602C5,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
OG0701A1,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
OG070199,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
OH060101,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
OH080101,1,1,1,1,1,1,,,,,,,,1,,,,,1,1,,1,1,1,1,1,,1,,1
OH080311,,,,,1,,,,,,,,,,,,,,1,,,,1,1,1,1,1,1,1,1
OH080399,,,,,,,,,,,,,,,,1,1,1,,,,1,,,,,,,,
OH0803B9,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
OH080403,1,1,,1,1,1,,,,,,,,,,,1,,,1,1,1,1,1,1,1,1,1,1,1
OH080501,,,,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,
OH080599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
OH080602,1,1,1,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,
OH080703,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH080799,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
OH081099,,,,,,,,,,,,,1,,,,,1,,,,1,,,,,,,,
OH081201,1,1,1,1,1,1,,,,,,,,,,,,,,1,1,1,,,,,,,,
OH081204,1,1,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,
OH081299,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
OH090101,,,,,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1
OJ110101,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OJ110199,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
OJ110202,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
OJ110299,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,
OJ1102A1,,,,,,,,,,,,,,1,1,,1,,1,1,,1,1,1,1,1,1,1,,1
OJ3101A4,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
OJ310301,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OJ310701,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OJ310703,,,1,1,,1,,,,,,1,1,,1,,1,,,,,,,,,,,,,
OJ311001,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,
OJ3111A0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
OJ311201,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
OP020102,1,1,1,1,1,1,,,,,,,1,1,1,,,,,,,1,,,,,,1,1,1
QC090399,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
QC090499,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,
QC091006,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
QC091101,,,,1,1,1,,,,1,,,,,,,,,1,1,1,1,,1,,,,,,
QC091603,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
QC091699,,,,,,,,,,,,,1,,1,1,1,,1,1,,1,1,,,,,,,
QC091805,,,,1,1,1,,,,,,,,,,,,,,,1,,1,,,,,,,
QC091899,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
QC092001,,,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,1,
QC092099,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,
QC092103,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1
QC092199,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,1,1,
QC092301,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
QC092399,,,,,,,1,1,,1,,,1,1,,1,1,1,1,1,,,1,1,,,,,,
QC092401,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
QC092802,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
QC092899,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
QC092901,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,
QC093401,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,
QC0999A6,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,
QC110409,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
QC110418,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
QC110421,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
QC110499,,1,1,1,1,1,,,,1,,1,,1,1,,1,,1,,,,1,,,,,,,
QC111101,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,
QC111102,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
QC111103,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
QC111199,,,,,,,,1,,,,,1,1,,,,,,,,,,,1,,,,,
QC111699,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
QC119999,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
QC130101,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
QD019999,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
QD070101,1,1,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,
QD070199,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
QD070706,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
QD070709,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,
QD070799,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
QD090499,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
QD091999,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
QD092099,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1
QD092799,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,
QD0927A0,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
QD099999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QD099991,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
QD099992,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
QD099993,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
QD0999B1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
QD129999,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
QD1299A1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
QD249999,1,1,1,,1,,,1,,1,1,1,1,1,,1,1,1,1,,1,1,,1,1,1,1,1,,
QD369999,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
QD439999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
QD789999,1,1,1,,,,1,1,1,1,,1,,,,,,,,1,,1,1,1,1,,,,,
QD8999A7,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
QDAE0803,1,1,1,1,1,1,,1,,,,,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1
QDAE0804,,,,,,,,,,,,,1,,1,,,,,,,,1,1,1,,1,1,1,1
QDAE11A2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
QDAF1202,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,
QDAF1501,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,
QDAF2801,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,
QDAH0410,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
QDAH04D8,1,1,1,1,1,1,,,,,,,1,1,1,,1,1,,,1,,,,1,,1,1,1,
QDAI0408,1,1,1,,,,1,1,1,1,1,1,,,,,,,,,1,1,,,,,,,1,
QDAI0414,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
QDAI04A0,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
QDAI0603,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,,,,1,1,,1,,,1,1,1
QDAI0701,1,1,,1,1,,,,,,,,1,1,,,,,,,,,,,,,,,,
QDAI0703,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,
QDAI0804,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,,,1,,,1,,1,1,1,1,1
QDAI1901,,1,,1,1,1,,,,,,,,,1,,1,,,,,,,,,,,,1,
QDAI2201,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
QDAI2599,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,
QH520199,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
QH560101,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
QH560199,,,,1,,,,1,1,,,1,,,,,,,,,,,,,,,,,,
QH569999,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
QH650204,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,1
QH650206,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,
QH650299,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,
QH650301,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1
QH650302,1,,,1,1,1,,,,,,,1,1,1,1,1,1,,,,,,,,1,1,1,1,1
QH650303,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
QH650399,,,,,,,1,1,,1,,1,,,,,,,1,1,1,1,1,1,,,,,,
QH650502,1,,1,1,1,1,,1,,,,,1,1,1,,1,1,,1,,,,1,1,1,1,1,1,1
QH650503,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
QH650599,,,,,,,,,,,,,,,,1,,,,,1,1,1,,,,,,,
QH670401,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1
QH670402,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,
QH670403,,,,1,1,1,1,1,1,,,,1,,,,,,,,,,,,,1,,1,1,
QH670405,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
QH670499,,,,,,,,,,1,1,,,,,,,,,1,,,1,,,,,,,
QH679999,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
QL019999,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
QO020501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
QO021301,1,1,1,,1,1,,,,,,,1,1,,,,,,,,,,,1,,1,1,1,1
QO029999,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
QO050101,,,,,,,,,,,,,1,1,1,,1,,,1,1,1,1,1,,,,,,
QO050102,1,1,1,1,1,1,,,,,,,1,1,1,1,,,1,1,1,1,,1,1,1,1,1,1,1
QO050105,,,,,,,,,,,,,,1,1,,1,,1,,1,1,1,,,,,,,
QO121204,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,,,
QO129999,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,
QO170701,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QO171601,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QO300102,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,,1,,1,1,1,,1,1,1
QO300199,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,
QO309999,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
QT080499,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
QT250504,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
QT250799,,,,1,1,,,,,,,,,,1,,,,,,1,,,,,,,1,1,
QT251103,1,1,,1,1,1,,,,,,,1,1,1,1,1,1,,,1,,1,1,,1,1,1,1,1
QT259999,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
