SiteCode,salinity,SAPrichness,TWrichness,Period
SPM001,1.4,50,,SAP
SPM002,1.1,47,,SAP
SPM003,5.3,31,,SAP
SPM004,40.9,11,,SAP
SPM005,6.7,35,,SAP
SPM006,120,9,,SAP
SPM007,1.2,59,,SAP
SPM008,41,14,,SAP
SPM009,60,7,,SAP
SPM010,6,56,,SAP
SPM011,0.42,53,,SAP
SPM012,160,4,,SAP
SPM013,0.4,67,,SAP
SPM014,22,24,,SAP
SPM015,25,14,,SAP
SPM016,30,21,,SAP
SPM017,0.4,56,,SAP
SPM019,0.45,47,,SAP
SPM020,3.3,46,,SAP
SPM022,1.1,63,,SAP
SPM023,85,8,,SAP
SPM024,0.71,83,,SAP
SPM025,300,1,,SAP
SPS001,81.17,12,,SAP
SPS002,5.73,46,,SAP
SPS003,0.22,73,,SAP
SPS004,3.82,45,,SAP
SPS005,0.72,55,,SAP
SPS006,19.96,25,,SAP
SPS007,10.74,41,,SAP
SPS008,1.74,46,,SAP
SPS009,77.23,9,,SAP
SPS010,7.65,36,,SAP
SPS011,24.18,22,,SAP
SPS012,126.92,10,,SAP
SPS013,10.89,40,,SAP
SPS014,37.06,14,,SAP
SPS015,50,13,,SAP
SPS016,84,3,,SAP
SPS017,10,25,,SAP
SPS018,0.1,55,,SAP
SPS019,110,11,,SAP
SPS020,328.38,0,,SAP
SPS021,74,8,,SAP
SPS022,62.98,9,,SAP
SPS023,0.27,46,,SAP
SPS024,3.46,59,,SAP
SPS025,300,1,,SAP
SPS026,3.87,30,,SAP
SPS027,0.57,49,,SAP
SPS028,0.32,36,,SAP
SPS029,6.37,28,,SAP
SPS030,0.04,28,,SAP
SPS031,0.17,74,,SAP
SPS032,0.73,90,,SAP
SPS033,0.16,58,,SAP
SPS034,1.37,30,,SAP
SPS035,4.11,47,,SAP
SPS036,0.21,50,,SAP
SPS037,5.73,55,,SAP
SPS038,4.1,52,,SAP
SPS039,4.3,42,,SAP
SPS040,6.59,24,,SAP
SPS041,4.91,42,,SAP
SPS042,5.4,25,,SAP
SPS043,1.19,28,,SAP
SPS044,1.39,45,,SAP
SPS045,0.83,49,,SAP
SPS046,120,2,,SAP
SPS047,5.44,43,,SAP
SPS048,0.03,45,,SAP
SPS049,0.16,38,,SAP
SPS050,299.66,2,,SAP
SPS051,45.73,12,,SAP
SPS052,104.79,4,,SAP
SPS053,120,6,,SAP
SPS054,0.03,39,,SAP
SPS055,27,13,,SAP
SPS056,8.4,30,,SAP
SPS057,15,21,,SAP
SPS058,110,7,,SAP
SPS059,0.11,41,,SAP
SPS060,3.52,37,,SAP
SPS061,0.2,60,,SAP
SPS062,40.47,17,,SAP
SPS063,7.5,41,,SAP
SPS064,1.96,25,,SAP
SPS065,0.82,30,,SAP
SPS066,226.21,2,,SAP
SPS067,33,17,,SAP
SPS068,0.4,33,,SAP
SPS069,81.16,14,,SAP
SPS070,0.04,40,,SAP
SPS071,100,8,,SAP
SPS072,5.3,38,,SAP
SPS073,0.14,29,,SAP
SPS074,0.22,60,,SAP
SPS075,19,12,,SAP
SPS076,68.04,9,,SAP
SPS077,30,14,,SAP
SPS078,0.03,61,,SAP
SPS079,20.56,19,,SAP
SPS080,160,4,,SAP
SPS081,0.46,41,,SAP
SPS082,0.35,52,,SAP
SPS083,0.52,64,,SAP
SPS084,140.53,2,,SAP
SPS085,55.67,9,,SAP
SPS086,0.37,52,,SAP
SPS087,1,21,,SAP
SPS088,240.15,7,,SAP
SPS089,33,5,,SAP
SPS090,0.25,29,,SAP
SPS091,2,49,,SAP
SPS092,0.08,46,,SAP
SPS093,146.79,4,,SAP
SPS094,4.2,53,,SAP
SPS095,296.52,1,,SAP
SPS096,1.1,27,,SAP
SPS097,218.52,5,,SAP
SPS098,4.23,43,,SAP
SPS099,209.54,2,,SAP
SPS100,20,32,,SAP
SPS101,31,20,,SAP
SPS102,0.58,46,,SAP
SPS103,0.21,65,,SAP
SPS104,3.6,39,,SAP
SPS105,1,64,,SAP
SPS106,130,17,,SAP
SPS107,63,12,,SAP
SPS108,0.41,81,,SAP
SPS109,130,4,,SAP
SPS110,0.2,60,,SAP
SPS111,3.2,69,,SAP
SPS112,20,21,,SAP
SPS113,3.6,32,,SAP
SPS114,0.51,78,,SAP
SPS115,7.7,43,,SAP
SPS116,8.6,21,,SAP
SPS117,0.19,39,,SAP
SPS118,42,16,,SAP
SPS119,3.4,57,,SAP
SPS120,2.5,47,,SAP
SPS121,3.4,12,,SAP
SPS122,6,26,,SAP
SPS123,21,29,,SAP
SPS124,1.6,52,,SAP
SPS125,69,6,,SAP
SPS126,0.079,38,,SAP
SPS127,6.9,37,,SAP
SPS128,6.2,37,,SAP
SPS129,2.2,28,,SAP
SPS130,49,13,,SAP
SPS131,120,10,,SAP
SPS132,2.5,57,,SAP
SPS133,0.45,50,,SAP
SPS134,23,13,,SAP
SPS135,3.4,45,,SAP
SPS136,54,7,,SAP
SPS137,17,30,,SAP
SPS138,0.23,37,,SAP
SPS139,0.08,13,,SAP
SPS140,88,7,,SAP
SPS141,14,30,,SAP
SPS142,10,34,,SAP
SPS144,52,12,,SAP
SPS145,0.26,56,,SAP
SPS146,6.1,36,,SAP
SPS147,10,44,,SAP
SPS148,120,6,,SAP
SPS149,12,31,,SAP
SPS150,11,39,,SAP
SPS151,1.1,24,,SAP
SPS152,29,15,,SAP
SPS153,0.2,43,,SAP
SPS154,0.7,30,,SAP
SPS155,16,14,,SAP
SPS156,17,24,,SAP
SPS157,92,9,,SAP
SPS158,37,20,,SAP
SPS159,13,28,,SAP
SPS160,0.45,41,,SAP
SPS161,1.3,45,,SAP
SPS162,41,23,,SAP
SPS163,9.2,38,,SAP
SPS164,56,9,,SAP
SPS165,0.12,51,,SAP
SPS166,130,8,,SAP
SPS167,11,42,,SAP
SPS168,0.27,39,,SAP
SPS169,47,14,,SAP
SPS170,25,19,,SAP
SPS171,5.3,45,,SAP
SPS172,53,15,,SAP
SPS173,26,15,,SAP
SPS174,11,27,,SAP
SPS175,0.039,32,,SAP
SPS176,0.093,71,,SAP
SPS177,0.86,69,,SAP
SPS178,24,22,,SAP
SPS179,74,4,,SAP
SPS180,1.7,30,,SAP
SPS181,0.13,26,,SAP
SPS182,0.15,53,,SAP
SPS183,0.13,88,,SAP
SPS184,56,14,,SAP
SPS185,0.051,65,,SAP
SPS186,47.5,6,,SAP
SPS187,4.9,50,,SAP
SPS188,1.8,36,,SAP
SPS189,180,9,,SAP
SPS190,1.5,43,,SAP
SPS191,0.32,63,,SAP
SPS192,1.3,28,,SAP
SPS193,2.3,60,,SAP
SPS194,0.34,39,,SAP
SPS195,20,16,,SAP
SPS196,1.3,56,,SAP
SPS197,0.086,79,,SAP
SPS198,4.7,53,,SAP
SPS199,14,32,,SAP
SPS200,7,40,,SAP
SPS201,21,18,,SAP
SPS202,2.3,65,,SAP
SPS203,4.2,46,,SAP
SPS204,3.1,40,,SAP
SPS207,46,14,,SAP
SPS208,91,8,,SAP
SPS210,330,0,,SAP
SPS212,79,10,,SAP
TE-D96,9.4,39,39,1996
TS-D96,9.4,40,40,1996
TW-D96,9.4,34,34,1996
W1-D96,2.8,45,45,1996
W2-D96,2.8,49,49,1996
W3-D96,2.8,44,44,1996
TE-O17,0.78,42,42,2017
TS-O17,0.78,44,44,2017
TW-O17,0.78,38,38,2017
W1-O17,0.61,27,27,2017
W2-O17,0.61,38,38,2017
W3-O17,0.61,30,30,2017
TE-N21,1.78,32,32,2021-22
TS-N21,1.77,27,27,2021-22
TW-N21,1.74,32,32,2021-22
W1-N21,1.25,33,33,2021-22
W2-N21,1.25,41,41,2021-22
W3-N21,1.45,31,31,2021-22
TE-J22,2,34,34,2021-22
TS-J22,2,30,30,2021-22
TW-J22,2,30,30,2021-22
W1-J22,2.6,38,38,2021-22
W2-J22,2.6,39,39,2021-22
W3-J22,2.6,33,33,2021-22
