SiteCode,salinity,SAPrichness,Period,Symbol
SPM001,1.4,50,A,1
SPM002,1.1,47,A,1
SPM003,5.3,31,A,1
SPM004,40.9,11,A,1
SPM005,6.7,35,A,1
SPM006,120,9,A,1
SPM007,1.2,59,A,1
SPM008,41,14,A,1
SPM009,60,7,A,1
SPM010,6,56,A,1
SPM011,0.42,53,A,1
SPM012,160,4,A,1
SPM013,0.4,67,A,1
SPM014,22,24,A,1
SPM015,25,14,A,1
SPM016,30,21,A,1
SPM017,0.4,56,A,1
SPM019,0.45,47,A,1
SPM020,3.3,46,A,1
SPM022,1.1,63,A,1
SPM023,85,8,A,1
SPM024,0.71,83,A,1
SPM025,300,1,A,1
SPS001,81.17,12,A,1
SPS002,5.73,46,A,1
SPS003,0.22,73,A,1
SPS004,3.82,45,A,1
SPS005,0.72,55,A,1
SPS006,19.96,25,A,1
SPS007,10.74,41,A,1
SPS008,1.74,46,A,1
SPS009,77.23,9,A,1
SPS010,7.65,36,A,1
SPS011,24.18,22,A,1
SPS012,126.92,10,A,1
SPS013,10.89,40,A,1
SPS014,37.06,14,A,1
SPS015,50,13,A,1
SPS016,84,3,A,1
SPS017,10,25,A,1
SPS018,0.1,55,A,1
SPS019,110,11,A,1
SPS020,328.38,0,A,1
SPS021,74,8,A,1
SPS022,62.98,9,A,1
SPS023,0.27,46,A,1
SPS024,3.46,59,A,1
SPS025,300,1,A,1
SPS026,3.87,30,A,1
SPS027,0.57,49,A,1
SPS028,0.32,36,A,1
SPS029,6.37,28,A,1
SPS030,0.04,28,A,1
SPS031,0.17,74,A,1
SPS032,0.73,90,A,1
SPS033,0.16,58,A,1
SPS035,4.11,47,A,1
SPS036,0.21,50,A,1
SPS037,5.73,55,A,1
SPS038,4.1,52,A,1
SPS039,4.3,42,A,1
SPS040,6.59,24,A,1
SPS041,4.91,42,A,1
SPS042,5.4,25,A,1
SPS043,1.19,28,A,1
SPS044,1.39,45,A,1
SPS045,0.83,49,A,1
SPS046,120,2,A,1
SPS047,5.44,43,A,1
SPS048,0.03,45,A,1
SPS050,299.66,2,A,1
SPS051,45.73,12,A,1
SPS052,104.79,4,A,1
SPS053,120,6,A,1
SPS054,0.03,39,A,1
SPS055,27,13,A,1
SPS056,8.4,30,A,1
SPS057,15,21,A,1
SPS058,110,7,A,1
SPS059,0.11,41,A,1
SPS060,3.52,37,A,1
SPS061,0.2,60,A,1
SPS062,40.47,17,A,1
SPS063,7.5,41,A,1
SPS064,1.96,25,A,1
SPS065,0.82,30,A,1
SPS066,226.21,2,A,1
SPS067,33,17,A,1
SPS068,0.4,33,A,1
SPS069,81.16,14,A,1
SPS070,0.04,40,A,1
SPS071,100,8,A,1
SPS073,0.14,29,A,1
SPS074,0.22,60,A,1
SPS075,19,12,A,1
SPS076,68.04,9,A,1
SPS077,30,14,A,1
SPS078,0.03,61,A,1
SPS079,20.56,19,A,1
SPS080,160,4,A,1
SPS081,0.46,41,A,1
SPS084,140.53,2,A,1
SPS085,55.67,9,A,1
SPS086,0.37,52,A,1
SPS087,1,21,A,1
SPS088,240.15,7,A,1
SPS089,33,5,A,1
SPS090,0.25,29,A,1
SPS091,2,49,A,1
SPS092,0.08,46,A,1
SPS093,146.79,4,A,1
SPS094,4.2,53,A,1
SPS095,296.52,1,A,1
SPS096,1.1,27,A,1
SPS097,218.52,5,A,1
SPS098,4.23,43,A,1
SPS099,209.54,2,A,1
SPS100,20,32,A,1
SPS101,31,20,A,1
SPS102,0.58,46,A,1
SPS103,0.21,65,A,1
SPS104,3.6,39,A,1
SPS105,1,64,A,1
SPS106,130,17,A,1
SPS107,63,12,A,1
SPS108,0.41,81,A,1
SPS109,130,4,A,1
SPS110,0.2,60,A,1
SPS112,20,21,A,1
SPS113,3.6,32,A,1
SPS114,0.51,78,A,1
SPS115,7.7,43,A,1
SPS116,8.6,21,A,1
SPS117,0.19,39,A,1
SPS118,42,16,A,1
SPS119,3.4,57,A,1
SPS120,2.5,47,A,1
SPS121,3.4,12,A,1
SPS122,6,26,A,1
SPS123,21,29,A,1
SPS124,1.6,52,A,1
SPS125,69,6,A,1
SPS126,0.079,38,A,1
SPS127,6.9,37,A,1
SPS128,6.2,37,A,1
SPS129,2.2,28,A,1
SPS130,49,13,A,1
SPS131,120,10,A,1
SPS132,2.5,57,A,1
SPS133,0.45,50,A,1
SPS134,23,13,A,1
SPS135,3.4,45,A,1
SPS136,54,7,A,1
SPS137,17,30,A,1
SPS138,0.23,37,A,1
SPS139,0.08,13,A,1
SPS140,88,7,A,1
SPS141,14,30,A,1
SPS142,10,34,A,1
SPS144,52,12,A,1
SPS145,0.26,56,A,1
SPS146,6.1,36,A,1
SPS147,10,44,A,1
SPS148,120,6,A,1
SPS149,12,31,A,1
SPS150,11,39,A,1
SPS151,1.1,24,A,1
SPS152,29,15,A,1
SPS153,0.2,43,A,1
SPS154,0.7,30,A,1
SPS155,16,14,A,1
SPS156,17,24,A,1
SPS157,92,9,A,1
SPS158,37,20,A,1
SPS159,13,28,A,1
SPS160,0.45,41,A,1
SPS161,1.3,45,A,1
SPS162,41,23,A,1
SPS163,9.2,38,A,1
SPS164,56,9,A,1
SPS165,0.12,51,A,1
SPS166,130,8,A,1
SPS167,11,42,A,1
SPS168,0.27,39,A,1
SPS169,47,14,A,1
SPS170,25,19,A,1
SPS171,5.3,45,A,1
SPS172,53,15,A,1
SPS173,26,15,A,1
SPS174,11,27,A,1
SPS175,0.039,32,A,1
SPS176,0.093,71,A,1
SPS177,0.86,69,A,1
SPS178,24,22,A,1
SPS179,74,4,A,1
SPS180,1.7,30,A,1
SPS181,0.13,26,A,1
SPS182,0.15,53,A,1
SPS183,0.13,88,A,1
SPS184,56,14,A,1
SPS185,0.051,65,A,1
SPS186,47.5,6,A,1
SPS187,4.9,50,A,1
SPS188,1.8,36,A,1
SPS189,180,9,A,1
SPS190,1.5,43,A,1
SPS191,0.32,63,A,1
SPS192,1.3,28,A,1
SPS193,2.3,60,A,1
SPS194,0.34,39,A,1
SPS195,20,16,A,1
SPS196,1.3,56,A,1
SPS197,0.086,79,A,1
SPS198,4.7,53,A,1
SPS199,14,32,A,1
SPS200,7,40,A,1
SPS201,21,18,A,1
SPS202,2.3,65,A,1
SPS203,4.2,46,A,1
SPS204,3.1,40,A,1
SPS207,46,14,A,1
SPS208,91,8,A,1
SPS210,330,0,A,1
SPS212,79,10,A,1
TE-D96,9.4,39,B,19
TS-D96,9.4,40,B,19
TW-D96,9.4,34,B,19
W1-D96,2.8,45,B,19
W2-D96,2.8,49,B,19
W3-D96,2.8,44,B,19
TE-O17,0.78,42,C,19
TS-O17,0.78,44,C,19
TW-O17,0.78,38,C,19
W1-O17,0.61,27,C,19
W2-O17,0.61,38,C,19
W3-O17,0.61,30,C,19
TE-N21,1.78,32,D,19
TS-N21,1.77,27,D,19
TW-N21,1.74,32,D,19
W1-N21,1.25,33,D,19
W2-N21,1.25,41,D,19
W3-N21,1.45,31,D,19
TE-J22,2,34,D,19
TS-J22,2,30,D,19
TW-J22,2,30,D,19
W1-J22,2.6,38,D,19
W2-J22,2.6,39,D,19
W3-J22,2.6,33,D,19
SPS034,1.37,30,E,19
SPS049,0.16,38,E,19
SPS072,5.3,38,E,19
SPS082,0.35,52,E,19
SPS083,0.52,64,E,19
SPS111,3.2,69,E,19
